EMPRESA,ÁREA,SISTEMA,TIPO,CENTRAL
10,11,6,3,1
10,6,1,4,4
7,12,6,2,4
7,15,6,3,4
7,2,4,3,4
8,10,6,3,4
1,13,3,2,4
4,14,1,3,4
3,10,2,2,2
7,10,4,1,3
9,6,3,2,4
2,12,4,3,4
8,8,6,1,1
5,1,3,4,2
4,14,5,3,1
9,16,2,2,2
5,2,2,4,1
3,4,5,3,1
9,4,4,1,3
1,5,1,4,3
7,6,2,4,5
3,2,2,3,3
9,10,6,1,3
5,1,3,3,3
9,15,3,1,3
7,7,4,2,1
11,6,6,3,4
8,16,4,4,5
8,8,6,1,2
11,3,2,4,5
6,6,4,4,2
8,16,1,3,2
2,5,2,2,4
5,14,4,2,4
6,16,3,4,3
6,7,3,3,3
2,13,2,1,1
1,10,4,4,3
10,8,2,1,5
5,5,1,1,1
2,2,4,3,3
10,4,6,1,1
4,16,4,4,4
2,9,4,2,1
11,12,6,4,4
1,15,2,1,2
1,16,4,4,4
2,14,1,1,1
2,7,3,1,4
5,3,1,4,1
6,3,6,3,4
8,15,4,4,5
4,12,6,3,2
5,9,6,3,1
11,15,1,4,4
4,9,1,3,4
8,2,3,1,2
5,8,5,4,2
6,11,3,3,5
8,14,4,4,5
2,11,2,3,4
1,4,6,2,3
7,16,6,2,5
2,3,2,2,3
9,11,3,1,3
6,14,6,2,1
8,11,3,3,2
4,11,5,3,3
2,10,2,2,2
9,5,3,3,4
2,14,3,1,3
9,14,5,2,2
5,12,1,2,5
5,8,5,1,5
11,6,4,4,2
4,2,1,4,4
3,7,6,2,5
2,12,6,2,1
11,15,4,4,1
6,13,3,1,4
3,12,3,2,1
10,13,2,1,4
6,12,5,1,4
10,6,6,3,4
9,14,3,1,1
3,16,4,4,5
8,4,2,2,5
3,11,4,3,3
3,10,5,1,4
2,12,1,3,4
5,14,4,3,4
8,8,4,4,1
3,12,6,1,2
9,15,3,2,2
2,11,5,2,2
2,15,1,1,4
5,14,5,4,2
6,3,3,1,2
11,15,1,4,2
8,6,6,1,1
6,9,6,1,4
2,9,5,3,1
9,5,3,1,1
2,3,2,1,5
10,10,4,1,2
2,14,3,4,3
4,14,3,2,4
11,4,3,2,3
1,12,4,4,4
3,16,5,2,3
6,11,2,1,3
10,6,2,4,1
7,4,5,3,5
7,11,1,2,5
3,6,5,1,5
6,2,5,4,5
2,11,4,2,1
7,9,5,2,1
4,3,6,3,2
5,16,4,4,1
9,7,5,2,5
1,5,3,2,4
9,15,6,3,1
9,6,6,3,3
7,15,5,3,3
6,10,6,1,5
8,6,5,4,3
9,2,3,1,4
8,9,3,3,1
10,6,2,3,3
9,2,4,3,3
3,14,2,1,2
3,15,1,1,4
1,7,1,3,2
8,8,4,3,3
8,9,6,1,5
8,7,3,4,3
7,3,3,4,5
9,6,2,4,3
1,7,3,3,1
6,6,5,3,4
11,1,6,4,2
10,11,1,1,5
7,8,1,2,2
3,9,3,3,3
4,1,1,1,4
1,2,3,3,4
11,13,3,4,4
5,2,2,3,3
2,6,6,4,3
8,6,1,3,1
3,16,1,2,5
1,6,2,1,5
3,10,4,3,2
6,16,5,2,3
3,1,5,4,2
5,9,2,4,4
7,15,1,4,1
1,14,3,4,2
5,13,6,3,1
2,13,3,4,3
9,12,5,3,5
8,1,4,3,2
9,5,3,2,4
1,11,3,4,5
3,15,4,2,3
1,10,2,4,5
10,13,1,4,5
3,6,3,4,5
11,5,5,1,4
10,7,3,3,5
2,3,6,3,4
9,1,6,3,1
9,15,4,2,5
5,5,5,4,3
3,14,4,3,2
3,3,1,4,4
7,5,2,2,5
9,10,1,1,4
2,10,6,4,5
11,9,5,1,4
2,7,3,4,2
1,12,4,2,4
10,3,2,2,1
4,11,5,2,1
9,12,2,3,5
10,8,4,4,5
4,16,3,2,3
4,8,3,1,3
8,14,1,4,3
9,15,5,1,5
5,3,1,3,4
1,15,3,1,1
8,10,6,3,3
7,11,2,3,3
7,4,4,1,2
6,15,6,3,1
8,2,5,1,1
9,3,4,4,5
11,3,1,3,5
3,8,3,1,3
3,11,6,2,2
2,15,2,4,2
9,14,5,2,4
6,1,3,3,3
5,1,1,4,4
1,4,2,1,1
7,14,6,3,3
6,5,3,1,2
11,12,2,1,4
6,1,6,2,1
8,1,1,4,3
2,2,6,1,5
5,7,5,1,5
8,3,1,2,2
3,3,1,2,2
9,13,6,1,1
1,2,5,3,3
8,2,4,3,3
2,13,6,2,5
3,13,5,3,1
8,3,6,4,5
3,8,1,4,2
6,16,6,2,4
10,15,1,1,1
8,6,3,1,1
7,14,5,2,1
2,5,5,3,5
8,13,2,2,3
2,3,4,2,5
5,13,5,2,5
7,9,1,2,2
5,15,2,2,1
1,3,2,2,5
8,5,1,3,3
8,4,1,2,4
4,6,1,2,3
9,14,1,3,1
8,7,6,2,2
8,2,6,3,3
6,3,2,1,2
7,5,1,2,1
9,11,1,2,5
3,1,1,1,5
10,2,5,1,2
1,12,1,1,3
4,8,1,4,3
8,11,5,1,2
9,12,3,1,1
1,4,4,2,5
1,2,3,2,2
9,12,1,3,5
11,9,5,3,2
7,16,4,2,3
7,12,6,2,5
6,3,4,1,3
5,1,2,1,2
8,5,1,2,1
9,14,3,4,2
8,14,3,3,4
3,11,6,3,1
10,12,5,1,4
5,4,6,3,4
11,11,1,3,5
7,13,2,1,2
11,12,4,4,4
7,10,3,3,2
3,9,2,2,2
1,8,5,4,2
2,12,3,4,3
9,8,4,3,4
7,16,3,3,3
4,13,2,3,2
6,14,5,2,3
7,15,2,1,5
9,2,4,3,1
11,2,2,1,4
6,2,5,2,1
5,10,6,3,2
4,7,3,3,1
2,5,2,4,1
4,3,4,1,4
4,11,6,4,2
1,6,5,3,4
10,14,6,4,4
5,14,6,1,5
10,12,4,1,1
8,11,5,2,1
7,1,3,4,3
8,10,3,2,5
8,14,6,1,1
6,7,6,1,4
11,13,4,2,5
7,5,6,4,1
4,13,1,1,5
3,6,4,2,1
10,12,1,3,1
6,3,2,4,3
7,14,2,4,2
6,9,3,4,1
9,2,2,4,1
5,16,5,1,5
6,15,1,4,4
9,5,3,4,5
4,7,3,2,3
1,8,1,3,2
3,1,6,2,3
6,4,2,2,2
5,11,6,1,4
9,14,2,4,1
6,12,6,2,1
8,16,5,4,2
6,11,5,4,2
8,13,3,4,4
8,14,4,1,4
3,9,6,3,4
3,4,5,2,1
2,8,5,2,1
7,1,1,1,1
6,4,2,2,3
2,3,6,2,1
7,15,6,1,5
9,14,4,3,2
7,9,1,2,1
8,8,5,2,2
8,5,6,2,2
9,14,4,3,3
7,4,2,1,3
8,8,6,1,3
11,3,6,1,1
6,14,5,2,1
11,15,5,3,2
7,7,6,4,3
5,16,2,4,3
8,5,3,4,4
3,11,6,3,4
8,11,6,1,4
1,6,4,4,1
11,8,3,4,3
7,2,1,1,1
9,8,1,4,5
6,15,5,4,2
9,10,6,2,5
3,10,1,2,2
9,10,4,2,5
10,11,5,2,4
7,14,6,3,2
8,8,3,4,3
6,10,2,4,1
6,8,5,2,3
1,16,2,1,2
5,10,4,4,2
9,5,6,1,5
6,1,5,4,5
1,11,3,2,1
3,1,5,2,1
3,1,4,1,3
10,16,3,2,4
3,13,6,1,3
8,7,4,1,4
9,9,4,1,1
1,1,2,3,5
10,11,1,4,3
8,5,2,4,3
6,8,2,2,2
10,6,2,3,2
11,9,1,2,1
9,14,2,3,4
11,10,5,2,1
3,10,1,1,5
11,2,6,2,1
3,11,5,1,1
2,14,4,1,2
1,11,2,2,2
3,12,3,4,1
8,15,1,4,2
6,14,3,1,4
5,15,1,2,5
7,15,2,4,3
9,7,1,3,2
11,2,5,1,5
2,11,3,4,2
5,12,1,1,5
3,3,5,3,2
2,7,6,4,5
6,2,5,1,3
5,10,4,3,4
11,14,5,2,4
5,16,6,4,2
11,16,1,3,1
1,14,5,4,3
8,5,6,2,5
7,13,2,4,3
8,10,5,4,1
1,2,6,2,1
9,4,2,4,5
6,15,1,2,2
8,3,5,2,2
2,8,5,4,5
1,12,1,3,5
7,8,6,1,4
5,7,4,2,5
8,11,2,1,3
1,2,1,4,2
7,2,6,1,5
8,6,2,1,2
11,2,2,4,1
2,12,3,4,2
7,9,2,4,5
10,10,5,4,1
6,6,2,2,1
1,14,1,4,5
6,11,2,3,4
2,16,5,2,4
2,8,6,4,5
3,5,2,2,1
4,6,3,3,5
8,14,1,1,2
11,9,6,3,3
10,15,1,4,5
6,2,6,2,4
6,12,3,1,3
1,10,1,1,4
2,1,5,3,2
6,5,3,3,5
5,8,5,1,2
6,15,5,2,5
3,11,5,3,1
4,5,3,1,3
7,11,3,4,1
2,12,1,3,1
11,9,3,4,2
7,14,4,2,5
3,16,2,4,5
8,6,3,3,1
9,9,5,3,2
11,15,1,2,3
5,1,6,4,2
2,4,5,3,4
9,6,5,2,1
7,11,2,3,1
7,8,6,4,5
6,4,4,3,2
10,9,6,2,4
2,14,5,3,3
6,13,2,3,4
11,7,2,3,3
4,12,2,1,5
2,5,4,2,5
2,9,4,3,2
9,7,1,3,4
7,11,1,2,4
7,7,4,4,5
9,10,5,3,5
4,14,3,3,4
11,2,1,2,1
11,1,1,2,3
11,11,6,1,2
4,5,6,1,2
11,4,4,4,1
5,7,3,2,4
11,6,3,1,4
3,2,5,1,1
2,1,3,4,2
5,14,1,2,4
6,4,4,2,2
7,10,2,1,4
6,4,6,1,4
10,3,5,1,5
4,13,4,1,5
10,7,1,1,2
1,12,3,4,4
2,16,5,1,5
9,15,2,2,3
9,1,5,3,4
1,13,2,2,1
1,10,1,3,2
8,8,1,1,3
3,6,5,2,5
3,3,2,1,5
2,15,2,1,4
2,13,6,3,3
8,8,2,1,2
4,7,3,2,5
7,4,5,2,1
7,5,2,2,1
4,10,1,1,3
1,10,1,2,4
7,11,6,2,1
9,7,4,4,2
1,1,2,2,3
10,14,3,2,5
5,9,4,3,2
3,15,5,1,4
7,15,6,3,5
11,1,3,3,1
4,7,1,2,3
6,6,4,4,5
9,2,3,1,3
8,3,6,1,5
8,14,6,2,1
11,6,6,4,1
4,13,6,2,2
3,10,1,3,5
8,15,5,2,5
1,14,4,1,2
1,3,5,2,2
8,9,4,3,2
9,5,1,3,2
8,4,1,3,1
4,3,2,3,3
2,5,4,4,2
3,15,2,4,3
9,6,4,4,3
7,10,5,1,5
8,5,4,1,1
2,11,6,2,3
8,9,1,4,3
9,1,5,3,1
2,5,1,1,3
8,7,1,2,2
10,4,1,3,5
10,15,6,3,1
10,9,3,2,2
10,12,3,2,2
10,5,6,1,4
11,1,2,3,4
4,9,1,3,2
5,5,5,3,2
8,15,6,2,1
5,6,5,4,2
1,4,1,3,2
3,14,4,4,5
4,8,2,1,2
11,7,5,3,4
10,13,4,4,3
1,13,2,1,4
8,7,5,2,2
6,6,2,3,3
3,16,3,2,1
7,14,4,4,4
7,3,3,2,2
8,15,3,2,4
10,14,4,4,2
3,8,3,3,2
4,15,3,2,2
3,3,6,2,4
6,6,2,2,2
5,16,5,2,1
4,16,2,1,2
2,8,4,4,1
1,5,5,4,1
10,6,5,1,2
11,6,1,2,1
11,13,1,3,5
11,8,4,4,2
2,6,1,2,3
6,10,6,1,4
10,5,2,4,4
11,13,6,3,3
10,13,3,2,1
9,10,2,3,4
8,11,3,4,2
11,7,4,4,5
5,11,4,1,3
6,11,3,2,5
5,3,5,3,4
5,10,1,2,5
10,9,1,4,2
10,5,3,1,4
1,14,4,4,1
1,5,1,4,4
8,12,2,2,1
5,8,3,3,2
10,9,5,1,1
2,11,5,4,2
7,7,4,4,4
1,4,2,4,5
3,13,2,3,4
7,15,5,1,5
8,11,4,4,1
10,8,1,2,1
1,5,6,2,5
5,10,5,2,5
9,16,1,1,3
6,3,6,4,1
8,15,2,3,2
11,4,1,2,5
6,4,5,2,5
10,8,1,4,4
10,7,3,4,2
3,4,5,1,3
7,8,5,1,5
11,15,2,1,2
8,2,5,4,4
7,7,5,2,2
10,1,4,1,1
7,2,6,4,4
10,4,5,3,3
2,10,4,1,4
7,13,6,1,3
2,14,6,3,3
5,1,5,1,4
2,16,2,3,1
2,13,3,3,3
6,16,5,3,5
3,6,5,3,4
10,7,6,3,5
9,4,5,3,4
6,2,2,3,4
1,4,6,2,1
6,2,2,1,5
11,6,3,4,5
1,8,6,2,2
3,8,5,4,5
6,10,3,4,1
10,9,6,4,4
5,6,5,3,5
8,4,2,1,3
1,6,1,4,5
5,7,1,3,3
1,5,4,3,2
1,15,5,2,5
3,5,6,1,3
7,2,3,1,3
8,6,4,1,3
4,13,1,4,3
4,7,2,2,2
8,2,2,3,2
9,10,4,1,1
9,2,6,2,3
2,11,2,2,5
11,12,3,2,5
11,12,2,4,5
11,14,2,2,3
4,10,4,2,5
1,5,5,1,1
2,15,6,1,2
10,7,3,1,3
2,4,4,1,5
8,16,5,1,3
9,10,6,2,4
1,12,1,4,2
6,11,5,1,4
8,16,5,3,3
4,5,1,3,5
5,3,6,4,1
9,12,2,4,1
7,11,5,2,5
6,14,5,1,1
5,14,4,3,5
8,9,6,2,5
6,15,6,4,5
11,7,1,3,5
8,14,2,4,3
9,15,1,4,1
9,3,4,3,1
5,2,1,2,2
6,5,4,2,1
4,10,2,3,2
2,2,2,4,2
1,10,5,3,4
1,3,1,1,3
4,9,6,2,2
3,8,2,2,3
10,14,3,1,3
11,14,5,2,5
3,16,3,4,4
10,14,2,3,3
1,6,1,1,2
8,16,1,3,1
6,2,4,3,5
10,1,2,3,3
4,13,6,3,3
1,1,4,4,2
10,15,2,3,4
6,2,1,4,2
10,11,6,4,5
8,13,1,2,5
2,7,2,3,3
8,10,6,4,4
9,5,1,4,5
8,15,6,2,3
3,10,4,2,4
4,1,1,1,2
5,9,5,1,4
5,13,5,4,3
2,10,4,2,1
1,16,3,2,2
8,12,4,4,5
3,10,6,4,5
7,16,2,2,4
2,2,3,3,5
6,2,3,4,1
2,16,5,1,4
4,6,4,3,4
6,12,1,4,1
10,4,3,3,4
11,11,2,2,3
7,6,5,3,2
2,15,6,4,5
6,16,4,1,1
2,13,6,4,4
1,11,5,3,3
8,8,1,1,5
6,3,2,2,2
8,14,3,3,2
11,13,1,4,4
8,9,1,4,5
2,14,2,4,1
11,15,3,4,5
5,14,4,2,3
5,7,5,4,3
1,11,1,4,4
4,11,6,1,4
2,3,6,1,3
3,1,3,3,1
11,4,3,2,4
2,6,4,3,5
5,11,1,2,4
3,15,6,2,3
1,1,6,2,3
8,8,1,3,1
3,13,6,1,1
3,7,2,3,5
2,12,5,2,2
4,6,6,4,2
3,7,5,2,3
8,12,2,3,5
10,9,4,1,4
9,4,1,3,1
10,12,1,4,3
10,14,5,2,2
8,5,3,3,5
8,13,5,2,1
1,6,1,3,1
8,11,5,2,4
6,3,1,4,1
1,16,5,4,1
1,16,2,1,4
2,12,4,1,2
3,10,2,3,1
6,10,5,3,2
7,8,4,4,5
3,5,5,1,4
8,16,2,4,2
9,4,4,1,4
8,15,6,3,2
10,2,4,2,3
9,13,3,3,2
4,2,2,2,3
3,2,4,1,5
1,2,5,1,4
4,12,2,2,4
7,3,1,4,1
11,5,3,4,2
7,4,6,4,5
1,3,6,1,3
7,5,2,1,3
4,16,4,3,3
11,11,6,2,1
4,15,6,1,4
4,9,6,1,1
10,7,4,1,3
9,2,5,4,1
6,5,5,3,3
4,15,3,2,4
1,2,3,3,2
5,4,3,4,3
5,15,2,1,3
6,3,1,2,4
9,11,1,3,4
7,1,4,2,5
8,5,3,1,1
3,13,3,2,4
7,3,3,2,3
7,10,6,4,1
7,6,3,3,4
2,7,2,4,2
10,13,3,4,3
5,12,6,2,4
8,13,6,4,3
3,9,1,3,5
7,10,2,3,3
3,6,4,1,3
5,15,6,2,4
11,15,1,3,2
1,8,5,1,3
4,8,6,3,2
6,6,6,2,4
7,5,1,4,2
3,9,1,3,2
6,11,6,2,1
4,14,4,1,4
5,3,1,4,3
8,16,3,4,1
3,7,1,1,4
4,9,4,2,5
11,13,1,1,5
11,4,6,1,3
2,15,3,1,1
1,8,1,1,1
4,6,5,2,5
7,1,4,2,2
11,3,6,2,2
1,7,4,2,4
11,16,1,3,3
4,10,4,3,3
6,16,5,2,5
11,7,5,1,3
10,13,3,2,5
11,14,3,2,5
5,1,2,3,2
5,11,4,4,3
2,16,2,3,5
10,8,1,2,4
1,14,3,2,2
9,7,3,3,3
7,13,3,2,4
9,16,3,1,4
2,3,4,3,4
11,10,1,1,2
3,12,3,4,4
8,7,5,4,1
6,7,5,1,1
8,3,5,1,1
2,10,5,3,2
11,6,6,1,5
10,3,6,4,4
2,11,4,4,5
11,3,3,4,5
1,6,5,4,1
11,3,3,2,5
9,6,4,4,5
9,12,6,3,4
10,12,3,3,3
5,8,2,2,4
2,10,4,4,5
4,2,4,3,4
5,15,3,2,1
9,11,6,4,4
3,1,6,4,1
10,7,4,2,4
4,14,5,1,5
4,14,1,2,4
8,10,3,4,4
2,12,3,2,3
9,15,5,1,2
8,16,3,3,1
6,6,4,2,1
10,10,2,1,3
7,6,1,2,4
8,6,6,1,3
2,6,5,2,4
7,2,6,4,1
8,5,3,4,5
5,7,6,2,4
4,3,5,2,5
8,15,5,3,1
1,4,2,1,5
2,10,3,2,2
1,1,2,2,4
4,8,4,1,3
1,12,4,3,3
2,16,5,1,3
10,10,3,2,5
5,4,6,1,5
11,6,1,3,2
7,16,5,1,2
8,3,6,4,3
5,14,4,2,5
6,16,2,3,5
1,2,1,3,1
9,1,1,4,4
4,8,2,2,4
5,1,6,2,3
3,9,5,2,1
11,7,4,1,5
6,1,4,2,5
6,12,3,4,2
10,14,4,3,2
10,5,6,1,5
6,11,1,4,2
4,10,1,4,4
5,14,4,4,2
5,11,2,1,2
10,15,2,1,4
8,4,4,2,1
1,10,2,1,5
11,15,5,4,5
2,3,1,2,5
10,14,1,2,3
3,10,6,4,1
9,3,2,2,1
10,2,4,3,4
5,3,4,1,3
10,6,4,3,5
3,16,5,3,1
2,11,2,1,5
4,1,3,1,1
3,5,6,2,3
3,16,5,4,3
4,14,6,2,2
3,2,2,4,2
2,14,1,2,2
11,5,5,4,2
8,3,2,1,5
4,5,1,4,2
1,5,3,3,2
7,12,3,4,4
1,3,6,2,3
4,11,2,3,2
6,10,3,3,1
10,4,2,1,2
5,5,4,2,3
3,12,3,3,4
3,11,3,3,3
2,10,3,3,4
10,11,3,3,4
10,1,6,2,4
1,12,6,1,3
10,3,4,4,2
9,14,4,1,5
6,8,2,1,2
6,16,1,3,4
6,13,1,1,5
7,5,1,1,5
10,4,3,3,5
9,12,4,3,5
5,6,2,1,4
8,11,5,4,3
8,2,4,3,4
9,16,6,3,1
4,8,6,1,3
6,3,1,2,2
5,4,5,2,3
10,2,6,2,4
2,4,3,1,2
8,2,1,1,4
11,3,3,1,5
1,7,2,2,1
8,13,3,1,3
2,2,5,4,5
6,6,3,2,3
4,3,4,2,2
4,9,2,4,4
4,13,5,4,4
10,5,6,4,4
10,5,1,3,4
10,13,2,2,4
1,9,4,2,2
5,10,5,3,5
7,16,6,3,2
7,7,2,1,1
1,11,2,3,3
4,13,5,4,2
2,1,6,2,1
8,1,4,4,2
9,12,2,4,3
3,1,2,2,3
5,11,6,1,3
3,9,6,4,5
2,11,5,3,1
1,10,5,3,3
5,9,1,3,1
3,13,6,2,1
1,14,6,2,4
10,12,2,4,5
7,8,5,2,5
5,3,4,1,5
6,14,4,2,2
3,3,3,2,3
5,2,3,3,1
3,9,4,3,3
5,12,1,3,3
3,13,6,4,1
3,15,5,3,1
1,12,3,4,2
5,7,1,1,3
8,16,3,4,2
11,6,6,4,4
1,1,1,2,3
8,15,3,4,4
10,3,5,2,2
4,3,5,1,1
7,15,2,1,1
9,5,1,3,3
5,10,6,4,4
6,3,4,2,5
11,15,1,1,5
9,9,2,4,2
7,14,3,3,3
11,15,5,2,2
6,13,2,4,3
3,15,2,3,5
10,1,6,2,2
4,15,2,4,4
2,11,2,1,4
1,4,5,2,2
7,3,5,4,5
3,7,6,1,5
4,1,1,3,5
1,7,5,3,1
3,1,3,4,5
9,1,1,3,2
6,1,1,4,2
11,13,6,2,2
1,2,6,3,5
8,3,2,3,3
9,14,5,1,4
10,10,1,2,2
7,4,2,1,5
4,10,5,2,1
1,13,4,4,3
7,16,3,4,3
2,5,6,4,2
6,5,3,3,3
9,6,1,2,3
11,12,3,2,1
7,3,5,3,5
2,9,3,2,2
5,6,2,3,5
9,9,1,4,3
6,11,1,2,2
3,8,2,1,1
9,2,3,1,5
8,7,4,2,5
1,4,5,2,3
9,4,6,2,4
7,2,4,1,5
11,10,3,2,4
3,10,4,1,4
3,12,2,2,4
3,15,6,4,2
11,4,6,1,1
7,9,5,3,4
3,14,1,1,5
5,9,3,4,2
5,3,4,4,5
2,11,5,3,4
2,3,5,4,2
2,7,4,3,5
4,7,4,3,3
10,8,6,4,4
9,12,3,1,2
2,15,2,3,5
1,5,1,3,4
2,5,5,2,4
9,16,1,3,2
2,14,2,2,5
5,1,2,2,4
5,16,3,3,1
10,7,5,4,4
11,13,5,2,4
9,11,6,3,4
2,11,1,4,3
7,7,2,3,3
9,8,4,4,1
10,4,3,3,1
5,1,1,1,1
4,1,3,4,2
8,10,6,4,5
9,11,6,3,5
6,8,5,3,3
4,3,4,2,1
6,3,5,2,1
6,11,6,3,1
10,13,3,1,2
5,6,6,4,4
10,12,2,3,4
11,13,5,4,5
3,9,1,4,4
8,11,2,3,1
9,4,2,3,5
5,8,5,3,2
2,4,2,2,5
7,9,4,3,5
11,16,3,4,3
1,6,5,3,3
10,1,4,4,4
4,11,1,4,1
5,12,2,2,3
6,2,1,4,4
5,13,4,2,2
11,12,6,3,2
4,14,5,2,2
6,5,4,2,3
3,14,3,2,4
1,16,4,3,1
1,1,5,2,2
4,14,6,3,4
5,8,5,3,3
1,5,2,1,5
1,13,5,2,1
11,15,4,2,4
3,11,3,2,3
2,7,5,1,4
10,3,4,4,4
1,4,4,2,2
1,1,2,4,2
11,16,1,2,2
2,2,3,4,1
9,8,2,1,1
5,3,1,4,4
7,2,4,4,3
4,15,2,2,2
2,15,2,4,5
9,5,5,3,3
11,14,4,4,3
8,13,6,2,2
1,1,6,1,4
2,11,5,2,5
6,14,2,2,3
3,12,5,1,5
4,14,3,1,5
7,5,3,3,2
4,8,1,2,3
7,16,1,1,4
1,10,1,1,3
9,8,6,3,5
3,9,5,4,1
10,6,6,4,1
6,15,2,1,5
9,14,4,1,4
10,11,4,3,3
8,13,5,4,4
2,9,6,1,3
10,8,1,4,2
6,9,1,3,1
5,13,6,4,1
3,15,3,1,3
4,11,4,3,4
6,5,4,3,2
5,13,5,3,1
5,7,3,2,3
8,6,2,4,1
2,14,5,2,3
9,2,1,3,3
1,1,2,4,1
9,10,4,2,3
1,12,3,1,3
11,13,5,4,3
11,1,4,2,3
11,6,2,2,1
5,2,2,1,3
8,11,2,4,4
4,7,3,3,4
10,9,4,2,4
9,9,4,3,3
6,1,3,3,1
5,4,4,2,4
2,9,4,3,5
5,3,5,4,5
2,10,3,2,4
2,10,6,3,2
10,8,1,3,4
2,11,6,1,5
4,16,1,2,5
8,11,5,2,5
8,5,4,4,5
6,14,3,2,5
5,3,2,4,3
9,15,4,4,3
2,6,2,4,1
7,15,2,1,2
6,10,4,1,1
7,3,6,2,4
2,16,5,2,1
7,9,4,3,1
7,12,6,1,1
2,8,3,4,3
8,15,1,3,4
4,10,5,4,4
11,15,6,1,1
8,16,6,1,1
3,6,4,4,4
4,1,4,4,2
8,8,1,2,5
9,13,1,1,2
11,12,2,3,2
11,13,1,1,1
9,8,4,4,2
5,13,4,3,3
10,4,6,4,4
8,3,6,2,1
7,4,6,2,2
3,12,3,1,2
2,13,3,3,1
1,12,2,4,5
5,13,6,3,2
11,5,6,2,5
1,4,6,4,2
9,11,3,1,2
11,3,4,2,1
9,4,1,4,5
2,10,1,4,1
11,5,5,2,4
4,6,1,4,2
7,9,5,3,5
7,1,2,2,3
6,11,4,4,4
10,6,3,3,1
4,1,5,4,1
3,14,6,1,4
5,4,5,4,3
11,10,5,4,1
5,10,5,1,5
10,5,1,2,3
10,5,2,2,2
2,16,1,1,3
6,11,2,2,5
6,14,6,1,1
5,14,5,2,5
8,13,2,1,3
5,16,5,2,2
5,10,5,2,2
3,14,5,3,2
8,11,4,2,4
10,12,3,1,1
1,15,5,1,1
2,13,3,1,4
8,2,2,4,1
8,16,1,3,3
4,7,3,2,2
2,4,3,3,4
1,4,3,2,3
3,9,1,2,3
7,9,3,3,1
4,3,6,3,3
11,4,2,3,3
10,9,3,1,5
8,9,1,1,3
6,12,4,4,2
2,12,6,4,4
1,7,1,4,3
9,5,6,4,5
5,5,3,4,5
6,15,3,1,3
2,6,3,4,4
10,14,4,3,3
5,11,5,2,2
9,9,3,3,4
1,8,1,4,3
8,3,2,2,2
7,15,1,3,1
9,5,4,2,3
4,16,6,1,4
1,6,2,4,1
4,9,6,4,3
11,3,3,2,2
3,5,3,4,2
6,1,5,4,4
9,8,4,1,5
3,15,6,4,4
8,10,5,3,4
4,3,5,4,2
1,3,2,1,5
5,8,6,4,1
11,3,5,3,4
2,15,4,4,3
5,13,6,3,3
1,7,5,4,2
8,5,1,2,3
10,4,1,3,3
8,13,4,3,2
4,16,2,2,5
10,4,2,4,2
11,8,1,4,4
6,12,5,3,3
11,11,6,1,1
7,16,5,4,2
5,4,4,1,1
9,9,3,3,3
10,10,6,1,5
5,12,6,3,2
5,9,6,4,3
5,5,4,2,5
10,16,1,1,2
7,7,6,3,3
11,12,6,1,1
7,11,4,4,2
9,15,4,3,2
10,3,5,1,4
5,2,3,4,4
8,3,4,4,5
11,15,2,3,2
2,13,1,2,4
2,9,3,4,2
8,3,6,1,1
6,10,5,1,1
7,7,3,3,4
2,14,2,1,5
6,10,2,2,1
2,7,1,4,2
11,11,5,3,3
10,3,6,1,5
11,11,4,4,2
4,8,4,4,5
4,3,3,4,5
3,13,6,4,5
8,10,3,2,3
4,10,2,1,4
9,8,3,2,1
5,12,3,4,4
3,6,3,3,2
2,16,2,2,2
5,5,1,3,5
7,14,1,3,1
11,15,6,4,4
7,12,5,4,2
7,2,4,2,2
8,15,5,3,4
5,16,1,1,2
5,1,6,1,5
9,6,1,4,1
2,7,2,2,2
7,10,4,2,2
5,6,5,3,1
7,16,2,1,3
6,7,1,3,2
10,13,4,4,1
5,13,1,4,4
6,14,6,2,4
2,2,5,4,1
4,5,6,4,3
2,15,3,1,5
7,5,1,2,2
7,7,3,3,5
1,16,3,3,4
4,2,5,1,3
9,16,5,3,1
6,7,2,2,1
7,10,3,4,5
11,16,5,4,1
8,7,5,4,5
7,13,4,1,3
3,1,6,2,5
1,2,5,4,5
6,14,5,3,4
9,16,2,2,5
2,13,4,3,5
2,8,6,2,4
4,4,3,4,4
8,15,3,3,4
1,3,6,1,1
5,6,4,3,4
10,8,5,4,5
7,5,3,4,5
3,7,2,1,2
3,14,5,3,3
8,2,6,4,5
8,2,2,4,2
3,2,5,1,4
10,14,1,4,1
9,6,5,1,5
4,7,5,1,4
6,2,2,4,1
5,14,6,3,1
6,13,3,1,2
3,3,5,4,3
6,5,3,3,1
6,13,2,3,2
11,4,5,1,5
9,15,2,4,4
1,2,2,2,5
7,9,6,1,3
1,2,3,1,1
9,5,6,3,5
3,15,6,1,1
8,10,4,3,3
4,9,1,4,5
3,13,5,2,4
9,11,1,2,2
8,6,1,3,4
5,5,4,1,2
4,4,1,2,5
6,1,2,1,1
3,11,4,4,3
3,12,3,1,3
9,13,4,3,2
8,8,4,2,1
7,5,3,4,4
8,3,4,3,5
3,14,2,2,4
8,12,2,3,3
7,1,6,3,4
2,2,6,3,1
1,12,6,2,5
11,6,1,1,2
1,9,6,1,5
3,14,3,3,5
5,14,5,3,1
2,8,3,4,4
5,10,3,1,5
4,5,1,2,5
10,6,6,1,2
